title,prompt,category,type,tags,is_public,is_pro
Cyberpunk Skyline,Create a glowing futuristic skyline at night, full of neon lights and rain-soaked reflections.,Art,image,"{cyberpunk,city,neon}",true,false
Dream Forest,Generate an enchanted forest filled with soft mist, glowing mushrooms, and moonlight filtering through tall trees.,Art,image,"{fantasy,forest,dreamlike}",true,false
Retro Futurism,Design an 80s-inspired futuristic poster with chrome typography and vaporwave colors.,Art,image,"{retro,vaporwave,poster}",true,false
Surreal Desert Mirage,Visualize a surreal desert landscape with floating sand dunes and mirrored skies.,Art,image,"{surreal,desert,dream}",true,false
Astral Garden,Create an interstellar garden where flowers bloom in zero gravity under starlight.,Art,image,"{space,floral,surreal}",true,false
Neon Samurai,Illustrate a futuristic samurai standing beneath neon signs in a rainy alley.,Art,image,"{cyberpunk,samurai,neon}",true,false
Glass Ocean,Render an ocean made of glass waves reflecting a burning sunset.,Art,image,"{ocean,glass,sunset}",true,false
Floating Islands,Depict floating islands covered in waterfalls, vegetation, and ancient ruins.,Art,image,"{fantasy,landscape,sky}",true,false
Cosmic Portrait,Paint a portrait made entirely of stars and galaxies swirling within human form.,Art,image,"{portrait,space,cosmos}",true,false
Shadow Theater,Create a dimly lit stage with human shadows dancing independently of their owners.,Art,image,"{conceptual,shadows,drama}",true,false
Golden Hour Street,Illustrate a quiet European street bathed in golden-hour sunlight.,Art,image,"{photorealistic,street,sunlight}",true,false
Fractured Reality,Visualize a city skyline fragmented into floating shards of glass and light.,Art,image,"{abstract,city,conceptual}",true,false
Minimalist Horizon,Design a clean minimalist landscape with soft gradients and abstract mountains.,Art,image,"{minimal,aesthetic,design}",true,false
Ethereal Wings,Depict an angelic figure emerging from clouds of glowing mist.,Art,image,"{fantasy,ethereal,light}",true,false
Solar Bloom,Show flowers blooming from the surface of the sun in abstract form.,Art,image,"{surreal,floral,light}",true,false
Celestial Clock,Design a giant clock made of planets orbiting in synchronization.,Art,image,"{space,mechanical,symbolic}",true,false
Urban Echoes,Capture reflections of city lights on wet pavement after rainfall.,Art,image,"{city,rain,reflection}",true,false
Underwater Ruins,Illustrate ancient Greek temples submerged under crystal-clear water.,Art,image,"{underwater,ruins,mythology}",true,false
Electric Jungle,Visualize a rainforest powered by glowing electric vines and robotic wildlife.,Art,image,"{sci-fi,nature,bioluminescent}",true,false
Lunar Reflection,Depict a vast lake reflecting a giant glowing moon and drifting clouds.,Art,image,"{night,moon,reflection}",true,false
Lofi Rainwalk,Generate a cozy lofi beat with rain ambience, gentle piano, and soft vinyl crackle.,Music,audio,"{lofi,relaxing,rain}",true,false
Drum & Bass Uplift,Create an energetic melodic drum & bass track with uplifting synths and deep bass.,Music,audio,"{dnb,energetic,bass}",true,false
Cinematic Pulse,Compose an epic cinematic track with pulsating drums and swelling strings.,Music,audio,"{cinematic,trailer,epic}",true,false
Ambient Drift,Generate a long ambient drone with airy pads and cosmic textures.,Music,audio,"{ambient,drone,space}",true,false
Synthwave Streets,Produce a retro synthwave track inspired by 80s arcade and neon highways.,Music,audio,"{synthwave,retro,neon}",true,false
Deep House Flow,Make a smooth deep house groove with soulful vocals and warm bass.,Music,audio,"{house,dance,groove}",true,false
Trance Horizon,Generate a euphoric trance melody with soaring leads and crisp percussion.,Music,audio,"{trance,uplifting,melody}",true,false
Dark Techno Circuit,Design a hypnotic techno track with gritty bass and mechanical rhythm.,Music,audio,"{techno,dark,club}",true,false
Jazz Lullaby,Compose a chill jazz instrumental with brushed drums and upright bass.,Music,audio,"{jazz,chill,instrumental}",true,false
Ocean Echoes,Generate an ambient ocean-inspired track with waves, seagulls, and synth pads.,Music,audio,"{ambient,ocean,calm}",true,false
Dubstep Shockwave,Create a high-impact dubstep track with aggressive wubs and metallic sound design.,Music,audio,"{dubstep,bass,energy}",true,false
Lofi Guitar Sunset,Produce a sunset lofi track with nylon guitar and warm saturation.,Music,audio,"{lofi,guitar,chill}",true,false
Drum Funk Motion,Generate a DnB track inspired by breakbeat funk grooves and filtered horns.,Music,audio,"{drum and bass,funk,groove}",true,false
Space Chillout,Compose a relaxing space ambient piece with echoing synths and cosmic reverb.,Music,audio,"{ambient,space,relax}",true,false
Minimal Pulse,Produce a minimal techno track with steady kick, glitch textures, and evolving pads.,Music,audio,"{techno,minimal,atmosphere}",true,false
Future Garage Mood,Generate a future garage track with atmospheric vocals and shuffling percussion.,Music,audio,"{garage,future,mood}",true,false
Loft Beats,Create jazzy hip-hop beats with upright bass, dusty drums, and sax samples.,Music,audio,"{lofi,jazz,hiphop}",true,false
Ethereal Choir,Compose an ambient vocal pad track with layered human harmonies and reverb.,Music,audio,"{vocal,ambient,choir}",true,false
Rainforest Percussion,Generate a tribal percussion track with natural ambience and rhythmic hand drums.,Music,audio,"{world,tribal,organic}",true,false
Night Drive,Produce a driving late-night synthwave track for city drives.,Music,audio,"{synthwave,night,drive}",true,false
Morning Haiku,Write a calming haiku about the first light of dawn breaking over quiet streets.,Writing,text,"{poetry,nature,minimal}",true,false
